,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.1,0.010000000000000002,1.0,0.0,0.0,4
1,0,0,0,0.0,1.0,1.0,1.0,1.0,0.2,0.04000000000000001,1.0,0.0,0.0,3
2,0,0,0,0.0,1.0,1.0,1.0,1.0,0.3,0.09,1.0,0.0,0.0,2
3,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
4,0,0,0,0.0,1.0,1.0,1.0,1.0,0.9,0.81,1.0,0.0,0.0,0
5,0,0,0,0.0,1.0,1.0,1.0,1.0,0.4,0.16000000000000003,1.0,0.0,0.0,-1
6,0,0,0,0.0,1.0,1.0,1.0,1.0,0.8,0.6400000000000001,1.0,0.0,0.0,-2
7,0,0,0,0.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.0,0.0,-3
8,0,0,0,0.0,1.0,1.0,1.0,1.0,0.7,0.48999999999999994,1.0,0.0,0.0,-4
9,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6,0.36,1.0,0.0,0.0,-5
10,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
11,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9,0.81,0.9,0.9,1.0,3
12,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8,0.6400000000000001,0.8,0.8,1.0,2
13,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7,0.48999999999999994,0.7,0.7,1.0,1
14,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6,0.36,0.6,0.6,1.0,0
15,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,1.0,-1
16,1,1,1,1.0,1.0,1.0,1.0,1.0,0.4,0.16000000000000003,0.4,0.4,1.0,-2
17,1,1,1,1.0,1.0,1.0,1.0,1.0,0.3,0.09,0.3,0.3,1.0,-3
18,1,1,1,1.0,1.0,1.0,1.0,1.0,0.2,0.04000000000000001,0.2,0.2,1.0,-4
19,1,1,1,1.0,1.0,1.0,1.0,1.0,0.1,0.010000000000000002,0.1,0.1,1.0,-5
20,2,4,8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4
21,2,4,8,2.0,1.0,1.0,1.0,1.0,0.9,0.81,0.81,1.8,1.8660659830736148,3
22,2,4,8,2.0,1.0,1.0,1.0,1.0,0.8,0.6400000000000001,0.6400000000000001,1.6,1.7411011265922482,2
23,2,4,8,2.0,1.0,1.0,1.0,1.0,0.7,0.48999999999999994,0.48999999999999994,1.4,1.624504792712471,1
24,2,4,8,2.0,1.0,1.0,1.0,1.0,0.6,0.36,0.36,1.2,1.515716566510398,0
25,2,4,8,2.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,1.4142135623730951,-1
26,2,4,8,2.0,1.0,1.0,1.0,1.0,0.4,0.16000000000000003,0.16000000000000003,0.8,1.3195079107728942,-2
